ETIQUETA;NOMBRE;PRIORIDAD;PROYECTO;TIPO ACTUACIÓN;COORDENADA X;COORDENADA Y;Longitud;Latitud
EP.16.01;Plaza Alcalde Moreno Torres;2024-2028;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;444390,663;4482201,805;-3.6561696;40.4886515
EP.16.02;Plaza Cívica Hortaleza;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;446072,794;4480036,415;-3.6361381;40.4692556
EP.17.01;Entorno estación Villaverde Bajo;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;441908,864;4467262,415;-3.6840873;40.3539
EP.18.02;Pasarela acceso Cerro Almodovar;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;448792,522;4470340,479;-3.6032763;40.3820805
EP.18.01;Reurbanización Gran Vía del Sureste;2024-2028;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;450068,798;4468358,47;-3.588086;40.3643025
EP.21.01;Plaza de la Duquesa;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;449613,019;4478585,746;-3.5942637;40.4564094
EP.21.02;Revitalización plaza Nuestra Señora de Loreto;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;450307,013;4480286,137;-3.5862124;40.4717693
EP.06.01;Plaza de la Remonta;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440853,766;4479508,208;-3.6976495;40.464142
EP.06.02;Plaza Leopoldo Luis;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440298,56;4478302,825;-3.7040846;40.4532438
EP.06.03;Plaza Canal Isabel II;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440525,026;4478821,505;-3.7014625;40.4579325
EP.08.01;Plaza Teatro de La Vaguada;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;439720,358;4481197,83;-3.711178;40.4792813
EP.08.02;Revitalizar áreas estanciales avenida de La Ilustración;2024-2028;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440069,07;4481378,564;-3.7070814;40.4809346
EP.08.03;Bulevar de Montecarmelo;2024-2028;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440818,683;4483935,837;-3.6984767;40.5040253
AI.08.01;Remodelación y ampliación aparcamiento estación Fuencarral;2024-2028;Proyecto Estratégico de Movilidad;Remodelación de Área Intermodal;442150,873;4483781,094;-3.6827407;40.5027252
EP.10.01;Plaza Aluche;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;435095,814;4470834,344;-3.7646757;40.3855751
MA.10.01;Mejora accesos intercambiador Aluche;2024-2028;Proyecto Estratégico de Espacio Público;Mejora de la Accesibilidad;435397,865;4470886,779;-3.7611225;40.3860709
EP.10.02;Accesibilidad Mercado Tirso de Molina;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;438403,095;4473832,986;-3.7260036;40.4128393
EP.10.03;Singularizar Plaza Sisenando;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;437606,208;4473336,617;-3.7353467;40.4083085
EP.11.01;Entorno biblioteca Ana María Matute;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;438891,525;4472082,404;-3.7200792;40.3971052
EP.12.02;De Marcelo Usera a la plaza del Hidrógeno;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;439976,88;4470787,928;-3.7071688;40.3855229
EP.12.03;Enlace Madrid Río;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440390,304;4471359,049;-3.7023518;40.3906976
EP.12.04;Gran plaza Orcasur;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440468,97;4468678,636;-3.7011746;40.3665566
MA.12.01;Mejora accesibilidad Av. Andalucía;2024-2028;Proyecto Estratégico de Espacio Público;Mejora de la Accesibilidad;441037,257;4469074,792;-3.6945182;40.3701657
CV.10.01;Ampliación Carretera de la Fortuna;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;434501,089;4468601,946;-3.7714524;40.3654183
CV.17.01;Desdoblamiento Eduardo Barreiros;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;440246,033;4467581,898;-3.7036975;40.3566606
EP.14.01;"""El Torito""";2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;445311,8;4472988,8;-3.6445078;40.405717
CV.21.01;Ejecución calle Ayerbe;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;451187,375;4480282,131;-3.5758271;40.4717854
EP.21.03;Buscando el Capricho;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;449523,255;4478293,912;-3.5952991;40.4537748
EP.11.02;Conexión Río - Parque de San Isidro;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;439015,819;4472343,717;-3.7186397;40.3994684
EP.11.03;Unión Tejares - Favila;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;438479,045;4471921,567;-3.7249238;40.395626
EP.06.04;Revitalización AZCA;2024-2028;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;441214,265;4477834,747;-3.6932426;40.4490924
EP.19.01;Área comercial Abierto Villajimena;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;448453,866;4473146,78;-3.6074929;40.4073406
CV.18.01;Acceso Camino del Pozo del tío Raimundo;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;444877,032;4469294,451;-3.6493116;40.3724073
EP.13.01;Entorno plaza Puerto Rubio (Plaza Vieja) y bulevar;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;443363,491;4471976,004;-3.6673774;40.3964629
EP.13.09;Bajos del Puente de Vallecas;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;443215,691;4472165,905;-3.6691358;40.3981636
CV.13.01;Conexión Puente de la Avenida de la Albufera - Politécnico Vallecas;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;446252,313;4470644,11;-3.6332265;40.3846558
EP.11.05;Conexión Mercedes Arteaga - Jacinto Verdaguer;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;438871,294;4471855,895;-3.7202959;40.3950633
EP.13.02;Mirador Cerro Tío Pío;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;444382,653;4472034,681;-3.6553739;40.3970602
EP.13.03;Mirador parque Azorín;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;444436,472;4471209,452;-3.6546678;40.3896296
EP.13.04;Mirador parque Payaso Fofó;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;444011,043;4470858,345;-3.6596492;40.3864382
EP.13.05;Área Deportiva C/Laguna;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;443115,479;4471296,872;-3.6702389;40.390328
CV.13.02;Conexión Parque Entrevías - Parque Manzanares;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;442513,114;4468961,073;-3.6771251;40.3692444
EP.14.02;Polígono A;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;444062,921;4473340,609;-3.659256;40.4088033
EP.14.03;Alrededor de la música;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;444223,843;4473654,903;-3.6573872;40.4116454
CV.17.02;Conexión C/José Perez;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;440028,399;4467246,983;-3.7062288;40.3536278
CV.17.03;Conexión C/Anoeta;2024-2028;Proyecto Estratégico de Movilidad;Mejora de Conexiones Viarias;440243,786;4466896,687;-3.7036597;40.3504877
EP.18.04;Montes de Barbanza;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;447382,794;4469799,214;-3.6198388;40.3771165
EP.12.05;Mercado de Usera;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440011,432;4470966,278;-3.7067785;40.3871321
EP.13.06;Mirador de Entrevías - Parque Manzanares;2020-2024;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;442289,875;4470116,483;-3.679859;40.3796375
EP.17.02;Amadeo Fernandez;2024-2028;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;440090,859;4466186,642;-3.7053938;40.3440802
EP.17.03;Revitalización Plaza Mayor;2017-2020;Proyecto Estratégico de Espacio Público;Remodelación de Espacio Público;439924,815;4466504,632;-3.7073786;40.3469329
